0.040820	0.253674
0.062069	0.380181
0.083294	0.499786
0.104543	0.610634
0.125819	0.710735
0.147069	0.798055
0.168318	0.871168
0.189568	0.928775
0.210781	0.969792
0.232068	0.993659
0.253318	0.999783
0.274531	0.988145
0.295818	0.958847
0.317068	0.912516
0.338319	0.849941
0.359569	0.772238
0.380819	0.680788
0.402068	0.577224
0.423318	0.463381
0.444568	0.341293
0.465785	0.213327
0.487067	0.081168
0.508318	-0.052238
0.529534	-0.184506
0.550818	-0.313899
0.572067	-0.437495
0.593317	-0.553307
0.614568	-0.659274
0.635783	-0.753355
0.657067	-0.834311
0.678317	-0.900275
0.699532	-0.950144
0.720800	-0.983217
0.742068	-0.998758
0.763319	-0.996500
0.784567	-0.976507
0.805817	-0.939130
0.827069	-0.885029
0.848317	-0.815188
0.869567	-0.730827
0.890822	-0.633438
0.912066	-0.524820
0.933318	-0.406827
0.954563	-0.281629
0.975792	-0.151517
0.997066	-0.018433
1.018317	0.114833
1.039566	0.246049
1.060790	0.372737
1.082066	0.493089
1.103317	0.604515
1.124528	0.705007
1.145812	0.793270
1.167042	0.867203
1.188293	0.925774
1.209557	0.967888
1.230797	0.992730
1.252028	0.999919
1.273277	0.989324
1.294547	0.961084
1.315807	0.915728
1.337027	0.854188
1.358277	0.777368
1.379556	0.686578
1.400775	0.583837
1.422027	0.470552
1.443285	0.348856
1.464565	0.220808
1.485804	0.089078
1.507050	-0.044279
1.528295	-0.176845
1.549543	-0.306287
1.570792	-0.430276
1.592064	-0.546734
1.613277	-0.653154
1.634553	-0.748250
1.655776	-0.829813
1.677026	-0.896714
1.698315	-0.947731
1.719536	-0.981736
1.740790	-0.998326
1.762040	-0.997140
1.783314	-0.978173
1.804564	-0.941805
1.825798	-0.888718
1.847047	-0.819782
1.868291	-0.736278
1.889526	-0.639715
1.910776	-0.531703
1.932025	-0.414232
1.953314	-0.289148
1.974553	-0.159209
1.995797	-0.026405
2.017064	0.107009
2.038297	0.238314
2.059549	0.365489
2.080815	0.486232
2.102024	0.598024
2.123314	0.699576
2.144566	0.788480
2.165789	0.863256
2.187064	0.922828
2.208313	0.965893
2.229564	0.991768
2.250778	0.999988
2.272026	0.990439
2.293281	0.963250
2.314539	0.918900
2.335773	0.858260
2.357063	0.782143
2.378288	0.692348
2.399563	0.590004
2.420813	0.477271
2.442025	0.356265
2.463274	0.228711
2.484563	0.096840
2.505797	-0.036416
2.527037	-0.169066
2.548313	-0.298920
2.569548	-0.423209
2.590774	-0.539928
2.612062	-0.647355
2.633286	-0.742947
2.654562	-0.825530
2.675786	-0.893238
2.697062	-0.945190
2.718312	-0.980244
2.739524	-0.997834
2.760788	-0.997704
2.782037	-0.979809
2.803314	-0.944417
2.824562	-0.892254
2.845811	-0.824205
2.867061	-0.741483
2.888305	-0.645594
